1	-0.0938
2	-0.0506
3	-0.0051
4	0.0354
5	0.0676
6	0.0842
7	0.0912
8	0.0810
9	0.0587
10	0.0274
11	-0.0124
12	-0.0499
13	-0.0849
14	-0.1101
15	-0.1238
16	-0.1344
17	-0.1414
18	-0.1444
19	-0.1461
20	-0.1426
21	-0.1397
22	-0.1382
23	-0.1345
24	-0.1286
25	-0.1227
26	-0.1180
27	-0.1152
28	-0.1112
29	-0.1125
30	-0.1178
31	-0.1248
32	-0.1355
33	-0.1483
34	-0.1607
35	-0.1726
36	-0.1846
37	-0.1959
38	-0.2028
39	-0.2071
40	-0.2095
41	-0.2121
42	-0.2141
43	-0.2160
44	-0.2161
45	-0.2118
46	-0.1934
47	-0.1691
48	-0.1324

