    0.12500    0.21602
    0.25000    0.43105
    0.37500    0.64511
    0.50000    0.85819
    0.62500    1.07028
    0.75000    1.28140
    0.87500    1.49153
    1.00000    1.70069
    1.12500    1.90887
    1.25000    2.11606
    1.37500    2.32228
    1.50000    2.52752
    1.62500    2.73177
    1.75000    2.93505
    1.87500    3.13735
    2.00000    3.33866
    2.12500    3.53900
    2.25000    3.73835
    2.37500    3.93673
    2.50000    4.13413
    2.62500    4.33054
    2.75000    4.52598
    2.87500    4.72044
    3.00000    4.91391
    3.12500    5.10641
    3.25000    5.29792
    3.37500    5.48846
    3.50000    5.67802
    3.62500    5.86659
    3.75000    6.05419
    3.87500    6.24081
    4.00000    6.42644
    4.12500    6.61110
    4.25000    6.79478
    4.37500    6.97747
    4.50000    7.15919
    4.62500    7.33993
    4.75000    7.51968
    4.87500    7.69846
    5.00000    7.87625
    5.12500    8.05307
    5.25000    8.22891
    5.37500    8.40376
    5.50000    8.57764
    5.62500    8.75054
    5.75000    8.92245
    5.87500    9.09339
    6.00000    9.26335
    6.12500    9.43232
    6.25000    9.60032
    6.37500    9.76733
    6.50000    9.93337
    6.62500   10.09843
    6.75000   10.26250
    6.87500   10.42560
    7.00000   10.58772
    7.12500   10.74885
    7.25000   10.90901
    7.37500   11.06819
    7.50000   11.22638
    7.62500   11.38360
    7.75000   11.53983
    7.87500   11.69509
    8.00000   11.84937
    8.12500   12.00266
    8.25000   12.15498
    8.37500   12.30632
    8.50000   12.45667
    8.62500   12.60605
    8.75000   12.75445
    8.87500   12.90186
    9.00000   13.04830
    9.12500   13.19375
    9.25000   13.33823
    9.37500   13.48173
    9.50000   13.62424
    9.62500   13.76578
    9.75000   13.90633
    9.87500   14.04591
   10.00000   14.18451
   10.12500   14.32213
   10.25000   14.45876
   10.37500   14.59442
   10.50000   14.72909
   10.62500   14.86279
   10.75000   14.99551
   10.87500   15.12724
   11.00000   15.25800
   11.12500   15.38778
   11.25000   15.51657
   11.37500   15.64439
   11.50000   15.77122
   11.62500   15.89708
   11.75000   16.02196
   11.87500   16.14585
   12.00000   16.26877
   12.12500   16.39071
   12.25000   16.51166
   12.37500   16.63164
   12.50000   16.75064
   12.62500   16.86865
   12.75000   16.98569
   12.87500   17.10175
   13.00000   17.21682
   13.12500   17.33092
   13.25000   17.44403
   13.37500   17.55617
   13.50000   17.66733
   13.62500   17.77751
   13.75000   17.88670
   13.87500   17.99492
   14.00000   18.10215
   14.12500   18.20841
   14.25000   18.31368
   14.37500   18.41798
   14.50000   18.52130
   14.62500   18.62363
   14.75000   18.72499
   14.87500   18.82537
   15.00000   18.92476
   15.12500   19.02318
   15.25000   19.12062
   15.37500   19.21707
   15.50000   19.31255
   15.62500   19.40705
   15.75000   19.50056
   15.87500   19.59310
   16.00000   19.68465
   16.12500   19.77523
   16.25000   19.86483
   16.37500   19.95345
   16.50000   20.04108
   16.62500   20.12774
   16.75000   20.21341
   16.87500   20.29811
   17.00000   20.38183
   17.12500   20.46456
   17.25000   20.54632
   17.37500   20.62709
   17.50000   20.70689
   17.62500   20.78571
   17.75000   20.86354
   17.87500   20.94040
   18.00000   21.01628
   18.12500   21.09117
   18.25000   21.16509
   18.37500   21.23803
   18.50000   21.30998
   18.62500   21.38096
   18.75000   21.45095
   18.87500   21.51997
   19.00000   21.58801
   19.12500   21.65506
   19.25000   21.72114
   19.37500   21.78624
   19.50000   21.85035
   19.62500   21.91349
   19.75000   21.97565
   19.87500   22.03682
   20.00000   22.09702
   20.12500   22.15623
   20.25000   22.21447
   20.37500   22.27173
   20.50000   22.32800
   20.62500   22.38330
   20.75000   22.43762
   20.87500   22.49095
   21.00000   22.54331
   21.12500   22.59468
   21.25000   22.64508
   21.37500   22.69450
   21.50000   22.74294
   21.62500   22.79039
   21.75000   22.83687
   21.87500   22.88237
   22.00000   22.92688
   22.12500   22.97041
   22.25000   23.01297
   22.37500   23.05455
   22.50000   23.09515
   22.62500   23.13476
   22.75000   23.17340
   22.87500   23.21105
   23.00000   23.24773
   23.12500   23.28343
   23.25000   23.31814
   23.37500   23.35188
   23.50000   23.38464
   23.62500   23.41641
   23.75000   23.44721
   23.87500   23.47702
   24.00000   23.50586
   24.12500   23.53372
   24.25000   23.56060
   24.37500   23.58649
   24.50000   23.61141
   24.62500   23.63534
   24.75000   23.65830
   24.87500   23.68027
   25.00000   23.70127
   25.12500   23.72129
   25.25000   23.74033
   25.37500   23.75838
   25.50000   23.77546
   25.62500   23.79156
   25.75000   23.80667
   25.87500   23.82081
   26.00000   23.83396
   26.12500   23.84614
   26.25000   23.85734
   26.37500   23.86755
   26.50000   23.87679
   26.62500   23.88505
   26.75000   23.89232
   26.87500   23.89862
   27.00000   23.90394
   27.12500   23.90827
   27.25000   23.91163
   27.37500   23.91400
   27.50000   23.91540
   27.62500   23.91582
   27.75000   23.91525
   27.87500   23.91371
   28.00000   23.91119
   28.12500   23.90768
   28.25000   23.90320
   28.37500   23.89774
   28.50000   23.89129
   28.62500   23.88387
   28.75000   23.87546
   28.87500   23.86608
   29.00000   23.85572
   29.12500   23.84437
   29.25000   23.83205
   29.37500   23.81875
   29.50000   23.80446
   29.62500   23.78920
   29.75000   23.77295
   29.87500   23.75573
   30.00000   23.73753
   30.12500   23.71835
   30.25000   23.69818
   30.37500   23.67703
   30.50000   23.65491
   30.62500   23.63181
   30.75000   23.60772
   30.87500   23.58266
   31.00000   23.55662
   31.12500   23.52959
   31.25000   23.50159
   31.37500   23.47261
   31.50000   23.44264
   31.62500   23.41170
   31.75000   23.37977
